date,ticker,shares_outstanding,nav
2025-07-01,EWJ,204000000,
2025-07-01,EWY,68100000,
2025-07-01,EWZ,178800000,
2025-07-02,EWJ,204000000,
2025-07-02,EWY,68100000,
2025-07-02,EWZ,179950000,
2025-07-03,EWJ,204000000,
2025-07-03,EWY,68100000,
2025-07-03,EWZ,181450000,
2025-07-07,EWJ,204000000,
2025-07-07,EWY,68100000,
2025-07-07,EWZ,182550000,
2025-07-08,EWJ,204000000,
2025-07-08,EWY,68850000,
2025-07-08,EWZ,184150000,
2025-07-09,EWJ,204000000,
2025-07-09,EWY,68850000,
2025-07-09,EWZ,186050000,
2025-07-10,EWJ,204000000,
2025-07-10,EWY,68850000,
2025-07-10,EWZ,186050000,
2025-07-11,EWJ,206100000,
2025-07-11,EWY,69200000,
2025-07-11,EWZ,186050000,
2025-07-14,EWJ,206100000,
2025-07-14,EWY,69200000,
2025-07-14,EWZ,186050000,
2025-07-15,EWJ,207300000,
2025-07-15,EWY,69750000,
2025-07-15,EWZ,186050000,
2025-07-16,EWJ,207300000,
2025-07-16,EWY,70200000,
2025-07-16,EWZ,186050000,
2025-07-17,EWJ,207300000,
2025-07-17,EWY,70200000,
2025-07-17,EWZ,186050000,
2025-07-18,EWJ,206850000,
2025-07-18,EWY,70200000,
2025-07-18,EWZ,186050000,
2025-07-21,EWJ,206850000,
2025-07-21,EWY,70200000,
2025-07-21,EWZ,186050000,
2025-07-22,EWJ,206850000,
2025-07-22,EWY,70750000,
2025-07-22,EWZ,186050000,
2025-07-23,EWJ,206850000,
2025-07-23,EWY,70750000,
2025-07-23,EWZ,186050000,
2025-07-24,EWJ,207600000,
2025-07-24,EWY,70750000,
2025-07-24,EWZ,186050000,
2025-07-25,EWJ,205650000,
2025-07-25,EWY,71250000,
2025-07-25,EWZ,186050000,
2025-07-28,EWJ,207600000,
2025-07-28,EWY,71750000,
2025-07-28,EWZ,186050000,
2025-07-29,EWJ,207600000,
2025-07-29,EWY,71750000,
2025-07-29,EWZ,186050000,
2025-07-30,EWJ,207600000,
2025-07-30,EWY,71750000,
2025-07-30,EWZ,186050000,
2025-07-31,EWJ,207600000,
2025-07-31,EWY,71750000,
2025-07-31,EWZ,186050000,
2025-08-01,EWJ,205800000,
2025-08-01,EWY,71750000,
2025-08-01,EWZ,186050000,
2025-08-04,EWJ,205200000,
2025-08-04,EWY,71750000,
2025-08-04,EWZ,186050000,
2025-08-05,EWJ,205200000,
2025-08-05,EWY,71750000,
2025-08-05,EWZ,186050000,
2025-08-06,EWJ,205200000,
2025-08-06,EWY,71750000,
2025-08-06,EWZ,186050000,
2025-08-07,EWJ,205200000,
2025-08-07,EWY,71750000,
2025-08-07,EWZ,186050000,
2025-08-08,EWJ,203850000,
2025-08-08,EWY,71750000,
2025-08-08,EWZ,186050000,
2025-08-11,EWJ,202050000,
2025-08-11,EWY,71750000,
2025-08-11,EWZ,186050000,
2025-08-12,EWJ,202050000,
2025-08-12,EWY,71750000,
2025-08-12,EWZ,186050000,
2025-08-13,EWJ,201300000,
2025-08-13,EWY,71750000,
2025-08-13,EWZ,186050000,
2025-08-14,EWJ,199500000,
2025-08-14,EWY,71750000,
2025-08-14,EWZ,186050000,
2025-08-15,EWJ,197850000,
2025-08-15,EWY,71750000,
2025-08-15,EWZ,186050000,
2025-08-18,EWJ,197850000,
2025-08-18,EWY,71750000,
2025-08-18,EWZ,186050000,
2025-08-19,EWJ,197850000,
2025-08-19,EWY,72950000,
2025-08-19,EWZ,186050000,
2025-08-20,EWJ,197850000,
2025-08-20,EWY,72950000,
2025-08-20,EWZ,186050000,
2025-08-21,EWJ,197850000,
2025-08-21,EWY,72950000,
2025-08-21,EWZ,186050000,
2025-08-22,EWJ,197100000,
2025-08-22,EWY,72950000,
2025-08-22,EWZ,186050000,
2025-08-25,EWJ,195600000,
2025-08-25,EWY,72950000,
2025-08-25,EWZ,186050000,
2025-08-26,EWJ,195600000,
2025-08-26,EWY,72950000,
2025-08-26,EWZ,186050000,
2025-08-27,EWJ,195600000,
2025-08-27,EWY,70950000,
2025-08-27,EWZ,184650000,
2025-08-28,EWJ,195600000,
2025-08-28,EWY,70950000,
2025-08-28,EWZ,184650000,
2025-08-29,EWJ,193800000,
2025-08-29,EWY,70200000,
2025-08-29,EWZ,184650000,
2025-09-02,EWJ,193800000,
2025-09-02,EWY,70200000,
2025-09-02,EWZ,184650000,
2025-09-03,EWJ,193800000,
2025-09-03,EWY,70200000,
2025-09-03,EWZ,184650000,
2025-09-04,EWJ,193800000,
2025-09-04,EWY,70200000,
2025-09-04,EWZ,184650000,
2025-09-05,EWJ,193800000,
2025-09-05,EWY,70200000,
2025-09-05,EWZ,184650000,
2025-09-08,EWJ,195300000,
2025-09-08,EWY,70200000,
2025-09-08,EWZ,184650000,
2025-09-09,EWJ,195300000,
2025-09-09,EWY,70200000,
2025-09-09,EWZ,184650000,
2025-09-10,EWJ,195300000,
2025-09-10,EWY,70200000,
